Episode: 151, Reward: -200.0, Max Position: -0.201, Epsilon: 0.40012, Q-value: -4.95885794878006
Episode: 152, Reward: -200.0, Max Position: 0.024, Epsilon: 0.39612, Q-value: 2.89691793859005
Episode: 153, Reward: -200.0, Max Position: -0.070, Epsilon: 0.39212, Q-value: -6.617261351495981
Episode: 154, Reward: -200.0, Max Position: -0.403, Epsilon: 0.38812, Q-value: -18.484367651939394
Episode: 155, Reward: -200.0, Max Position: -0.220, Epsilon: 0.38412, Q-value: -7.806784287318587
Episode: 156, Reward: -200.0, Max Position: -0.137, Epsilon: 0.38012, Q-value: -5.093049083109945
Episode: 157, Reward: -200.0, Max Position: -0.172, Epsilon: 0.37612, Q-value: -9.199685268793255
Episode: 158, Reward: -200.0, Max Position: -0.035, Epsilon: 0.37212, Q-value: -0.5820785057544708
Episode: 159, Reward: -200.0, Max Position: -0.285, Epsilon: 0.36812, Q-value: -12.687349995970726
Episode: 160, Reward: -200.0, Max Position: -0.353, Epsilon: 0.36412, Q-value: -14.409444519281386
Episode: 161, Reward: -200.0, Max Position: -0.189, Epsilon: 0.36012, Q-value: -2.99752694349736
Episode: 162, Reward: -200.0, Max Position: -0.133, Epsilon: 0.35612, Q-value: -10.786500999331475
Episode: 163, Reward: -200.0, Max Position: -0.029, Epsilon: 0.35212, Q-value: -3.4154754462838173
Episode: 164, Reward: -200.0, Max Position: -0.120, Epsilon: 0.34812, Q-value: -7.09853377379477
Episode: 165, Reward: -200.0, Max Position: -0.313, Epsilon: 0.34412, Q-value: -17.70606424856931
Episode: 166, Reward: -200.0, Max Position: -0.379, Epsilon: 0.34012, Q-value: -20.56961816549301
Episode: 167, Reward: -200.0, Max Position: -0.156, Epsilon: 0.33612, Q-value: -9.915864873938263
Episode: 168, Reward: -185.0, Max Position: 0.504, Epsilon: 0.33222, Q-value: 25.829032307710403
Episode: 169, Reward: -200.0, Max Position: -0.177, Epsilon: 0.32822, Q-value: -7.8916463994979855
Episode: 170, Reward: -200.0, Max Position: -0.353, Epsilon: 0.32422, Q-value: -21.5623694729805
Episode: 171, Reward: -188.0, Max Position: 0.502, Epsilon: 0.32026, Q-value: 21.062041465738655
Episode: 172, Reward: -200.0, Max Position: -0.278, Epsilon: 0.31626, Q-value: -17.56699040904641
Episode: 173, Reward: -200.0, Max Position: -0.323, Epsilon: 0.31226, Q-value: -17.905155137777328
Episode: 174, Reward: -200.0, Max Position: 0.089, Epsilon: 0.30826, Q-value: 1.9749813717603684
Episode: 175, Reward: -200.0, Max Position: -0.162, Epsilon: 0.30426, Q-value: -8.849574574418366
Episode: 176, Reward: -200.0, Max Position: 0.170, Epsilon: 0.30026, Q-value: 4.933905952908098
Episode: 177, Reward: -200.0, Max Position: -0.376, Epsilon: 0.29626, Q-value: -23.0416904258728
Episode: 178, Reward: -200.0, Max Position: 0.007, Epsilon: 0.29226, Q-value: -1.0777380913496017
Episode: 179, Reward: -200.0, Max Position: -0.243, Epsilon: 0.28826, Q-value: -15.014954055845738
Episode: 180, Reward: -200.0, Max Position: -0.092, Epsilon: 0.28426, Q-value: -6.201429464221
Episode: 181, Reward: -200.0, Max Position: -0.209, Epsilon: 0.28026, Q-value: -9.421028752624988
Episode: 182, Reward: -200.0, Max Position: -0.091, Epsilon: 0.27626, Q-value: -13.456803381852806
Episode: 183, Reward: -200.0, Max Position: 0.089, Epsilon: 0.27226, Q-value: -3.460580187290907
Episode: 184, Reward: -200.0, Max Position: -0.107, Epsilon: 0.26826, Q-value: -13.497254959493876
Episode: 185, Reward: -200.0, Max Position: 0.033, Epsilon: 0.26426, Q-value: -1.0805309768021107
Episode: 186, Reward: -189.0, Max Position: 0.502, Epsilon: 0.26028, Q-value: 17.072788638161054
Episode: 187, Reward: -200.0, Max Position: -0.358, Epsilon: 0.25628, Q-value: -21.966361889839174
Episode: 188, Reward: -200.0, Max Position: -0.014, Epsilon: 0.25228, Q-value: -6.3861488422751425
Episode: 189, Reward: -200.0, Max Position: -0.013, Epsilon: 0.24828, Q-value: -2.3216819797083734
Episode: 190, Reward: -200.0, Max Position: -0.274, Epsilon: 0.24428, Q-value: -11.479642850756646
Episode: 191, Reward: -200.0, Max Position: -0.230, Epsilon: 0.24028, Q-value: -5.497743168324232
Episode: 192, Reward: -200.0, Max Position: -0.118, Epsilon: 0.23628, Q-value: -9.14946856731549
Episode: 193, Reward: -200.0, Max Position: -0.036, Epsilon: 0.23228, Q-value: 2.492221385836601
Episode: 194, Reward: -200.0, Max Position: -0.123, Epsilon: 0.22828, Q-value: -3.6925545505434276
Episode: 195, Reward: -200.0, Max Position: 0.113, Epsilon: 0.22428, Q-value: 0.7479962180554867
Episode: 196, Reward: -200.0, Max Position: 0.229, Epsilon: 0.22028, Q-value: 11.393127924650907
Episode: 197, Reward: -200.0, Max Position: 0.046, Epsilon: 0.21628, Q-value: -3.970735434941016
Episode: 198, Reward: -200.0, Max Position: 0.327, Epsilon: 0.21228, Q-value: 18.01301224604249
Episode: 199, Reward: -200.0, Max Position: 0.285, Epsilon: 0.20828, Q-value: 7.144398802518845
Episode: 200, Reward: -200.0, Max Position: 0.208, Epsilon: 0.20428, Q-value: 12.892092907633632
Episode: 201, Reward: -186.0, Max Position: 0.522, Epsilon: 0.20036, Q-value: 24.516150012080157
Episode: 202, Reward: -164.0, Max Position: 0.526, Epsilon: 0.19666, Q-value: 23.19475864824411
Episode: 203, Reward: -200.0, Max Position: 0.351, Epsilon: 0.19266, Q-value: 16.425686112344266
Episode: 204, Reward: -182.0, Max Position: 0.503, Epsilon: 0.18882, Q-value: 22.725609027470153
Episode: 205, Reward: -129.0, Max Position: 0.527, Epsilon: 0.18582, Q-value: 26.679300390084585
Episode: 206, Reward: -145.0, Max Position: 0.501, Epsilon: 0.18272, Q-value: 29.95916358347862
Episode: 207, Reward: -143.0, Max Position: 0.542, Epsilon: 0.17944, Q-value: 27.085591825406727
